name,used
Acamar,False
Achird,False
Acrab,False
Acubens,False
Adhafera,False
Adhara,False
Adhil,False
Ain,False
Ainalrami,False
Aladfar,False
Albaldah,False
Albali,False
Alchiba,False
Alderamin,False
Aldhanab,False
Aldhibah,False
Aldulfin,False
Alfirk,False
Algedi,False
Algenib,False
Algieba,False
Algorab,False
Alhena,False
Alioth,False
Aljanah,False
Alkaid,False
Alkalurops,False
Alkaphrah,False
Alkarab,False
Alkes,False
Almaaz,False
Almach,False
Alnair,False
Alnasl,False
Alniyat,False
Alphecca,False
Alpheratz,False
Alpherg,False
Alrakis,False
Alrescha,False
Alsafi,False
Alsciaukat,False
Alsephina,False
Alshain,False
Alshat,False
Altais,False
Alterf,False
Aludra,False
Alula Australis,False
Alula Borealis,False
Alya,False
Alzirr,False
Ancha,False
Angetenar,False
Ankaa,False
Anser,False
Arkab Posterior,False
Arkab Prior,False
Arneb,False
Ascella,False
Asellus Australis,False
Asellus Borealis,False
Ashlesha,False
Aspidiske,False
Asterope,False
Athebyne,False
Atik,False
Atria,False
Avior,False
Azelfafage,False
Azha,False
Azmidi,False
Baten Kaitos,False
Beemim,False
Beid,False
Bharani,False
Biham,False
Botein,False
Brachium,False
Bunda,False
Caph,False
Castula,False
Cebalrai,False
Cervantes,False
Chalawan,False
Chamukuy,False
Chara,False
Chertan,False
Copernicus,False
Cujam,False
Cursa,False
Dabih,False
Dalim,False
Deneb Algedi,False
Diadem,False
Diphda,False
Dschubba,False
Dubhe,False
Dziban,False
Edasich,False
Elgafar,False
Elkurud,False
Elnath,False
Eltanin,False
Enif,False
Errai,False
Fafnir,False
Fang,False
Fawaris,False
Felis,False
Fulu,False
Fumalsamakah,False
Furud,False
Fuyue,False
Giausar,False
Gienah,False
Ginan,False
Gomeisa,False
Grumium,False
Gudja,False
Guniibuu,False
Hadar,False
Haedus,False
Hassaleh,False
Hatysa,False
Helvetios,False
Heze,False
Homam,False
Iklil,False
Imai,False
Intercrus,False
Izar,False
Jabbah,False
Jishui,False
Kaffaljidhma,False
Kang,False
Kaus Australis,False
Kaus Borealis,False
Kaus Media,False
Keid,False
Khambalia,False
Kitalpha,False
Kochab,False
Kornephoros,False
Kraz,False
Kurhah,False
Larawag,False
Lesath,False
Libertas,False
Lich,False
Lilii Borea,False
Mahasim,False
Marfik,False
Markab,False
Markeb,False
Marsic,False
Matar,False
Mebsuta,False
Megrez,False
Mekbuda,False
Meleph,False
Menkalinan,False
Menkar,False
Menkent,False
Menkib,False
Merak,False
Merga,False
Meridiana,False
Mesarthim,False
Miaplacidus,False
Minchir,False
Minelauva,False
Mirach,False
Miram,False
Mirfak,False
Mirzam,False
Misam,False
Mothallah,False
Muliphein,False
Muphrid,False
Muscida,False
Musica,False
Nahn,False
Naos,False
Nashira,False
Nekkar,False
Nembus,False
Nihal,False
Nunki,False
Nusakan,False
Ogma,False
Okab,False
Paikauhale,False
Peacock,False
Phact,False
Phecda,False
Pherkad,False
Piautos,False
Pipirima,False
Polaris Australis,False
Polis,False
Porrima,False
Praecipua,False
Prima Hyadum,False
Propus,False
Ran,False
Rasalas,False
Rasalgethi,False
Rasalhague,False
Rastaban,False
Revati,False
Rigil Kentaurus,False
Rotanev,False
Ruchbah,False
Rukbat,False
Sabik,False
Saclateni,False
Sadachbia,False
Sadalbari,False
Sadalmelik,False
Sadalsuud,False
Sadr,False
Salm,False
Sargas,False
Sarin,False
Sceptrum,False
Scheat,False
Schedar,False
Secunda Hyadum,False
Segin,False
Seginus,False
Sham,False
Shaula,False
Sheliak,False
Sheratan,False
Situla,False
Skat,False
Sualocin,False
Subra,False
Suhail,False
Sulafat,False
Syrma,False
Tabit,False
Taiyangshou,False
Taiyi,False
Talitha,False
Tania Australis,False
Tania Borealis,False
Tarazed,False
Tarf,False
Taygeta,False
Tegmine,False
Tejat,False
Terebellum,False
Theemin,False
Tiaki,False
Tianguan,False
Tianyi,False
Titawin,False
Toliman,False
Tonatiuh,False
Torcular,False
Tureis,False
Ukdah,False
Unukalhai,False
Unurgunite,False
Veritate,False
Vindemiatrix,False
Wasat,False
Wazn,False
Wezen,False
Wurren,False
Xamidimura,False
Xuange,False
Yed Posterior,False
Yed Prior,False
Yildun,False
Zaniah,False
Zaurak,False
Zavijava,False
Zhang,False
Zibal,False
Zosma,False
Zubenelgenubi,False
Zubenelhakrabi,False
Zubeneschamali,False
